fcpu,fgpu,cpu_uti,gpu_uti,mem_uti,cpu_temp,gpu_temp,inference_time,total_time,fps,VDD_IN
345600,114750000,75.2,50.9,18.2,31.2,29.5,16.418,18.992,46.18,4250
499200,114750000,66.2,60.1,21.3,32.0,30.2,13.849,15.580,54.52,4542
652800,114750000,60.7,64.5,22.5,32.6,30.7,13.447,14.830,56.67,4697
806400,114750000,40.2,68.0,23.3,32.8,31.0,13.010,14.133,58.63,4725
960000,114750000,36.4,72.3,23.5,33.0,31.4,12.907,13.899,59.01,4736
1113600,114750000,34.8,64.3,23.5,33.3,31.6,12.835,13.749,59.25,4767
1267200,114750000,32.6,62.6,23.5,33.5,31.9,12.861,13.698,59.19,4800
1420800,114750000,29.6,75.7,24.0,33.8,32.0,12.838,13.600,59.53,4910
1574400,114750000,28.3,73.0,24.1,34.0,32.2,12.836,13.551,59.41,4986
1728000,114750000,27.4,74.5,24.1,34.2,32.3,12.846,13.514,59.31,5035
1881600,114750000,27.3,64.3,24.1,34.4,32.5,12.821,13.469,59.45,5124
2035200,114750000,30.3,82.1,24.2,34.7,32.7,12.805,13.424,59.92,5229
345600,216750000,66.6,35.5,20.5,34.1,32.4,14.530,16.862,52.30,4422
499200,216750000,55.3,43.3,23.0,34.2,32.4,13.297,14.949,57.56,4665
652800,216750000,44.3,44.2,23.8,34.2,32.4,13.093,14.427,57.73,4750
806400,216750000,39.6,42.4,24.0,34.3,32.4,13.019,14.151,58.54,4775
960000,216750000,38.0,48.4,24.5,34.3,32.5,12.965,13.934,58.98,4824
1113600,216750000,33.1,46.1,24.7,34.3,32.5,12.923,13.809,59.14,4834
1267200,216750000,31.7,49.3,24.7,34.4,32.4,12.902,13.731,59.23,4888
1420800,216750000,29.3,47.8,25.3,34.6,32.6,12.884,13.640,59.32,5027
1574400,216750000,28.8,44.4,25.2,34.7,32.7,12.848,13.583,59.62,5042
1728000,216750000,28.9,48.1,25.3,34.7,32.8,12.877,13.535,59.43,5113
1881600,216750000,29.8,46.0,25.3,34.8,33.0,12.859,13.516,59.48,5227
2035200,216750000,27.2,43.5,25.4,35.0,33.2,12.855,13.446,59.46,5338
345600,318750000,59.9,26.2,20.5,34.6,32.7,14.552,16.863,52.64,4413
499200,318750000,50.2,29.7,23.0,34.4,32.7,13.346,14.971,57.57,4665
652800,318750000,44.7,34.3,23.7,34.4,32.6,13.199,14.522,57.95,4752
806400,318750000,39.6,33.2,24.0,34.4,32.6,13.069,14.197,58.70,4759
960000,318750000,40.9,37.9,24.5,34.4,32.6,13.002,13.978,58.84,4813
1113600,318750000,32.7,37.6,24.6,34.5,32.6,12.974,13.866,58.98,4833
1267200,318750000,34.1,38.4,24.6,34.5,32.6,12.949,13.776,59.12,4873
