fcpu_ghz,fgpu_ghz,total_time,T_hat,rel_err,x_cpu,x_gpu
0.3456,1.3005,41.431,38.3887160179638,0.07343013642046284,5.888888888888889,1.0
0.3456,1.23675,41.201,38.56031924891135,0.06409263734105124,5.888888888888889,1.0515463917525774
0.3456,1.13475,41.264,38.87498944318819,0.057895757968490974,5.888888888888889,1.1460674157303372
1.4208,0.11475,51.029,48.38007690511657,0.05191015099028858,1.4324324324324325,11.333333333333332
1.5744,0.11475,50.152,47.614626377969586,0.05059366769082819,1.2926829268292683,11.333333333333332
2.0352,0.11475,48.436,46.01151300979384,0.05005547506412921,1.0,11.333333333333332
0.3456,0.11475,76.617,72.78944371524798,0.04995701064714124,5.888888888888889,11.333333333333332
1.728,0.11475,49.439,46.98525594453763,0.049631749336806426,1.1777777777777778,11.333333333333332
1.8816,0.11475,48.847,46.45863986758435,0.04889471477093063,1.0816326530612246,11.333333333333332
1.2672,0.11475,51.779,49.33109119642039,0.047276092693555594,1.606060606060606,11.333333333333332
