fcpu,fgpu,cpu_uti,gpu_uti,mem_uti,cpu_temp,gpu_temp,inference_time,total_time,fps,VDD_IN
345600,114750000,78.9,43.0,13.2,33.0,31.3,15.187,15.506,55.53,3922
499200,114750000,64.4,44.2,14.7,33.3,31.6,13.922,14.128,59.08,4086
652800,114750000,58.6,44.8,15.3,33.8,32.0,13.700,13.891,59.44,4189
806400,114750000,40.2,61.7,15.8,33.9,32.2,13.343,13.489,60.11,4198
960000,114750000,36.6,67.3,16.2,34.3,32.4,13.253,13.385,60.14,4273
1113600,114750000,33.5,59.7,16.2,34.4,32.5,13.156,13.307,60.18,4298
1267200,114750000,33.4,59.1,16.3,34.7,32.6,13.137,13.270,60.23,4350
1420800,114750000,31.5,61.5,16.4,34.8,32.9,13.102,13.220,60.21,4387
1574400,114750000,29.5,63.4,16.4,34.9,32.9,13.068,13.185,60.23,4430
1728000,114750000,29.5,60.7,16.5,35.0,33.1,13.057,13.154,60.23,4513
1881600,114750000,28.1,58.5,16.4,35.2,33.3,13.032,13.129,60.21,4613
2035200,114750000,26.1,64.0,16.5,35.5,33.4,13.005,13.111,60.16,4750
345600,216750000,59.6,25.3,14.1,34.9,33.3,14.251,14.553,58.90,3974
499200,216750000,52.7,32.2,15.3,35.0,33.2,13.754,13.959,59.51,4116
652800,216750000,49.7,35.4,15.8,35.0,33.3,13.462,13.629,59.93,4179
806400,216750000,41.9,31.3,15.9,35.1,33.2,13.374,13.518,59.95,4193
960000,216750000,36.9,37.7,16.0,35.2,33.2,13.298,13.426,60.00,4211
1113600,216750000,35.7,34.1,16.3,34.9,33.2,13.232,13.346,60.14,4278
1267200,216750000,30.8,31.5,16.4,35.0,33.2,13.188,13.298,60.13,4324
1420800,216750000,29.8,34.1,16.4,35.0,33.2,13.158,13.251,60.16,4339
1574400,216750000,29.9,34.7,16.5,35.0,33.2,13.136,13.227,60.19,4406
1728000,216750000,26.3,34.3,16.4,35.3,33.4,13.127,13.221,60.13,4460
1881600,216750000,28.4,35.9,16.5,35.4,33.5,13.132,13.215,60.04,4560
2035200,216750000,25.7,34.6,16.5,35.6,33.6,13.140,13.226,59.82,4660
345600,318750000,59.1,19.4,13.9,35.2,33.4,14.434,14.773,58.44,3938
499200,318750000,51.7,22.3,15.0,35.2,33.2,13.837,14.044,59.19,4047
652800,318750000,44.8,22.4,15.5,35.1,33.3,13.571,13.737,59.88,4106
806400,318750000,38.2,24.3,15.9,35.0,33.2,13.414,13.553,60.10,4185
960000,318750000,37.7,26.4,16.0,35.0,33.3,13.331,13.450,60.13,4189
1113600,318750000,33.5,24.2,16.2,35.1,33.3,13.287,13.404,60.07,4252
1267200,318750000,31.5,24.2,16.3,35.1,33.3,13.249,13.354,60.13,4307
1420800,318750000,29.9,23.6,16.3,35.2,33.3,13.210,13.304,60.09,4323
1574400,318750000,29.3,24.9,16.4,35.3,33.4,13.151,13.262,60.13,4398
1728000,318750000,29.1,23.6,16.4,35.3,33.5,13.148,13.231,60.18,4439
1881600,318750000,25.5,25.0,16.4,35.4,33.6,13.118,13.196,60.09,4510
2035200,318750000,25.7,23.8,16.5,35.5,33.8,13.089,13.191,60.23,4656
345600,420750000,64.2,14.1,13.9,35.1,33.4,14.459,14.789,58.82,3931
499200,420750000,58.0,18.4,15.0,35.0,33.4,13.896,14.106,59.52,4057
652800,420750000,44.4,18.4,15.5,35.0,33.3,13.567,13.750,59.92,4112
806400,420750000,40.8,19.1,15.9,35.0,33.3,13.464,13.599,59.96,4169
960000,420750000,37.4,22.2,16.0,35.1,33.4,13.363,13.482,60.04,4202
1113600,420750000,33.0,20.2,16.3,35.1,33.4,13.274,13.419,60.04,4263
1267200,420750000,32.7,19.7,16.3,35.0,33.3,13.253,13.357,60.08,4283
1420800,420750000,30.5,18.8,16.3,35.1,33.4,13.200,13.309,60.10,4346
1574400,420750000,30.4,20.2,16.4,35.1,33.4,13.170,13.271,60.11,4384
1728000,420750000,29.3,18.6,16.4,35.2,33.5,13.141,13.227,60.08,4457
1881600,420750000,27.2,21.4,16.4,35.4,33.5,13.140,13.220,60.10,4547
2035200,420750000,24.9,19.5,16.5,35.6,33.8,13.090,13.167,60.19,4661
345600,522750000,64.3,12.8,13.9,35.1,33.4,14.463,14.765,58.71,3951
499200,522750000,55.0,15.4,15.0,35.1,33.4,13.860,14.066,59.35,4063
652800,522750000,48.2,16.7,15.5,35.0,33.4,13.620,13.786,59.82,4124
806400,522750000,38.6,16.7,15.9,35.1,33.4,13.453,13.590,60.00,4182
960000,522750000,35.2,18.3,15.9,35.0,33.3,13.364,13.481,60.04,4203
1113600,522750000,33.9,16.6,16.3,35.0,33.4,13.275,13.390,60.15,4263
1267200,522750000,31.1,18.1,16.3,35.1,33.4,13.251,13.354,60.12,4305
1420800,522750000,30.5,17.9,16.3,35.1,33.4,13.207,13.300,60.15,4349
1574400,522750000,30.8,17.6,16.4,35.2,33.4,13.167,13.260,60.10,4391
1728000,522750000,28.8,17.1,16.4,35.2,33.5,13.136,13.224,60.17,4428
1881600,522750000,26.5,15.6,16.5,35.4,33.6,13.113,13.200,60.16,4552
2035200,522750000,26.5,17.3,16.4,35.6,33.8,13.108,13.186,60.13,4632
345600,624750000,59.7,11.2,13.9,35.3,33.6,14.469,14.754,58.81,3948
499200,624750000,51.6,14.0,15.0,35.1,33.5,13.854,14.076,59.37,4070
652800,624750000,47.7,14.5,15.5,35.1,33.5,13.611,13.806,59.80,4125
806400,624750000,39.2,15.4,15.9,35.0,33.4,13.468,13.617,59.96,4194
960000,624750000,36.2,16.5,16.0,35.0,33.5,13.382,13.507,59.99,4210
1113600,624750000,34.9,15.8,16.3,35.1,33.4,13.297,13.412,60.02,4269
1267200,624750000,33.7,15.8,16.3,35.2,33.6,13.250,13.360,60.04,4317
1420800,624750000,31.2,16.3,16.4,35.3,33.6,13.197,13.310,60.10,4370
1574400,624750000,28.0,14.1,16.3,35.3,33.5,13.174,13.266,60.15,4414
1728000,624750000,27.8,16.5,16.4,35.3,33.6,13.148,13.236,60.15,4454
1881600,624750000,26.0,17.0,16.4,35.4,33.8,13.125,13.215,60.09,4557
2035200,624750000,25.0,16.2,16.4,35.7,33.9,13.112,13.197,60.10,4640
345600,726750000,63.4,9.9,13.7,35.3,33.5,14.470,14.779,58.58,3940
499200,726750000,50.8,12.9,14.9,35.2,33.4,13.865,14.079,59.39,4090
652800,726750000,46.3,14.2,15.5,35.0,33.4,13.624,13.794,59.80,4133
806400,726750000,38.8,14.1,15.9,35.0,33.4,13.441,13.595,59.96,4207
960000,726750000,39.0,17.4,15.9,35.1,33.4,13.371,13.507,60.06,4193
1113600,726750000,37.3,14.5,16.3,35.0,33.4,13.310,13.427,59.99,4289
1267200,726750000,30.9,14.0,16.3,35.0,33.5,13.249,13.362,60.15,4302
1420800,726750000,30.3,13.8,16.4,35.2,33.5,13.232,13.328,60.07,4362
1574400,726750000,30.5,14.8,16.3,35.3,33.6,13.167,13.268,60.11,4400
1728000,726750000,29.1,13.9,16.4,35.4,33.6,13.150,13.243,60.05,4493
1881600,726750000,26.5,14.6,16.4,35.4,33.7,13.109,13.196,60.13,4554
2035200,726750000,25.4,16.4,16.5,35.7,33.9,13.120,13.201,60.13,4694
345600,828750000,64.3,11.6,13.9,35.3,33.6,14.459,14.788,58.68,4007
499200,828750000,50.0,12.3,14.9,35.2,33.6,13.939,14.165,59.34,4106
652800,828750000,46.1,13.4,15.5,35.1,33.5,13.605,13.781,59.81,4156
806400,828750000,38.8,14.2,15.9,35.2,33.5,13.460,13.629,59.93,4232
