fcpu_ghz,fgpu_ghz,total_time,T_hat,rel_err,x_cpu,x_gpu
2.0352,0.11475,37.478,24.642590565242593,0.342478505650179,1.0,11.333333333333332
1.8816,0.11475,37.883,25.059099599174107,0.33851332789974115,1.0816326530612246,11.333333333333332
1.728,0.11475,38.029,25.549654683582336,0.3281533912650258,1.1777777777777778,11.333333333333332
1.5744,0.11475,38.487,26.13592783324095,0.32091543032086295,1.2926829268292683,11.333333333333332
1.4208,0.11475,38.914,26.848962744987908,0.31004361553713555,1.4324324324324325,11.333333333333332
1.2672,0.11475,39.569,27.734854605037164,0.2990761807213434,1.606060606060606,11.333333333333332
1.1136,0.11475,40.268,28.86513042647932,0.283174470386428,1.827586206896552,11.333333333333332
0.96,0.11475,41.233,30.35709451078296,0.2637670188736458,2.12,11.333333333333332
0.8064,0.11475,42.484,32.41742586529752,0.23694977249558621,2.5238095238095237,11.333333333333332
0.6528,0.11475,43.8,35.44732491605421,0.190700344382324,3.1176470588235294,11.333333333333332
