fcpu,fgpu,cpu_uti,gpu_uti,mem_uti,cpu_temp,gpu_temp,inference_time,total_time,fps,VDD_IN
345600,114750000,91.1,55.6,9.2,36.4,34.8,33.290,55.874,22.73,3596
499200,114750000,86.9,62.2,10.3,35.9,34.3,32.758,49.070,23.06,3835
652800,114750000,78.1,67.9,11.4,36.0,34.4,31.936,43.800,23.67,4042
806400,114750000,72.6,73.6,11.8,36.1,34.5,32.958,42.484,22.97,4141
960000,114750000,72.4,76.3,12.2,36.4,34.7,32.741,41.233,23.01,4216
1113600,114750000,66.3,76.5,12.3,36.3,34.5,32.586,40.268,23.17,4253
1267200,114750000,65.9,81.3,12.5,36.4,34.6,32.574,39.569,23.13,4355
1420800,114750000,64.4,80.4,12.8,36.5,34.7,32.478,38.914,23.20,4465
1574400,114750000,61.4,82.8,12.9,36.8,34.9,32.447,38.487,23.20,4572
1728000,114750000,59.4,81.6,13.0,37.0,35.2,32.408,38.029,23.25,4734
1881600,114750000,59.7,82.0,13.0,37.4,35.4,32.517,37.883,23.23,4903
2035200,114750000,56.6,84.5,13.1,37.9,35.8,32.429,37.478,23.21,5111
345600,216750000,90.7,33.7,10.6,36.4,34.9,23.878,45.192,31.79,3709
499200,216750000,86.9,47.1,14.0,36.2,34.6,18.097,32.557,41.88,4123
652800,216750000,81.8,57.0,15.9,36.4,34.7,17.551,28.383,43.13,4392
806400,216750000,75.6,58.4,17.1,36.6,34.9,17.391,26.272,43.46,4571
960000,216750000,73.4,61.9,18.0,36.7,35.1,17.191,24.906,43.79,4735
1113600,216750000,70.5,65.2,18.6,36.9,35.3,17.162,23.963,44.04,4824
1267200,216750000,70.2,69.6,19.2,37.1,35.5,17.053,23.340,44.47,5008
1420800,216750000,66.9,67.9,19.5,37.4,35.8,17.185,22.851,44.03,5148
1574400,216750000,68.9,72.6,19.9,37.6,35.9,17.159,22.515,44.04,5326
1728000,216750000,67.1,70.9,19.9,38.0,36.2,17.127,22.245,44.11,5508
1881600,216750000,59.8,73.1,20.3,38.4,36.6,17.108,21.998,44.16,5756
2035200,216750000,58.3,73.2,20.5,38.7,36.9,17.088,21.677,44.35,6016
345600,318750000,90.9,21.0,10.3,37.1,35.5,23.463,46.082,32.17,3663
499200,318750000,87.4,35.6,13.6,36.6,34.9,18.162,33.015,41.94,4085
652800,318750000,82.6,40.5,16.6,36.5,34.9,15.751,26.951,48.23,4473
806400,318750000,77.7,45.8,18.5,36.7,35.1,14.576,23.532,52.10,4708
960000,318750000,73.7,50.1,20.0,36.9,35.3,13.973,21.700,54.44,4905
1113600,318750000,73.6,52.7,20.9,37.0,35.3,13.670,20.580,55.76,5035
1267200,318750000,69.0,54.5,21.7,37.1,35.6,13.668,19.933,55.66,5236
1420800,318750000,69.7,54.4,22.7,37.5,36.0,13.282,18.982,57.43,5447
1574400,318750000,66.4,61.8,23.2,37.9,36.3,13.322,18.590,57.14,5673
1728000,318750000,67.9,54.8,23.6,38.4,36.7,13.163,18.144,57.78,5922
1881600,318750000,64.2,59.4,23.9,38.8,37.1,13.103,17.784,58.04,6176
2035200,318750000,65.3,59.7,24.4,39.4,37.6,12.990,17.335,58.53,6493
345600,420750000,91.0,16.1,10.4,37.5,35.9,24.181,45.639,31.34,3679
499200,420750000,87.5,19.2,13.7,36.8,35.2,17.657,32.250,43.25,4075
652800,420750000,81.8,32.4,16.3,36.7,35.1,15.764,27.079,48.14,4409
806400,420750000,74.4,33.5,18.7,36.8,35.1,14.297,23.164,52.88,4702
960000,420750000,72.1,37.4,19.9,37.0,35.3,14.155,21.767,53.73,4903
1113600,420750000,70.1,38.6,21.1,37.1,35.6,13.497,20.265,56.33,5048
1267200,420750000,76.0,42.1,22.0,37.3,35.7,13.297,19.438,57.24,5243
1420800,420750000,66.6,38.4,22.5,37.6,35.9,13.218,18.829,57.43,5394
1574400,420750000,66.5,43.8,23.1,37.8,36.2,12.997,18.180,58.53,5620
1728000,420750000,65.8,39.9,23.7,38.3,36.6,13.079,17.921,58.25,5896
1881600,420750000,60.8,47.9,24.2,38.7,36.9,12.928,17.419,58.99,6178
2035200,420750000,67.0,44.2,24.5,39.2,37.4,12.996,17.259,58.65,6511
345600,522750000,92.4,14.6,10.2,37.2,35.6,22.650,46.337,33.52,3645
499200,522750000,90.1,21.3,12.8,36.5,34.9,17.459,35.583,43.53,3980
652800,522750000,82.1,26.6,16.2,36.5,34.9,15.537,26.950,49.11,4399
806400,522750000,75.6,31.9,18.7,36.6,35.0,14.219,23.097,53.69,4697
960000,522750000,73.7,33.6,19.8,36.9,35.0,13.929,21.622,54.52,4864
1113600,522750000,70.1,28.6,21.0,37.0,35.3,13.577,20.398,56.73,5020
1267200,522750000,67.1,37.1,21.8,37.2,35.5,13.243,19.471,57.44,5234
1420800,522750000,69.1,38.5,22.5,37.5,35.8,13.234,18.851,57.55,5422
1574400,522750000,71.0,36.9,23.0,37.7,36.0,13.055,18.221,58.40,5618
1728000,522750000,71.9,37.7,23.5,38.0,36.5,13.048,17.850,58.21,5862
1881600,522750000,62.3,40.5,24.0,38.5,36.8,12.955,17.510,58.72,6163
2035200,522750000,61.7,41.0,24.4,39.2,37.4,12.942,17.201,58.83,6503
345600,624750000,90.4,15.9,10.2,37.2,35.6,23.896,46.218,31.71,3664
499200,624750000,86.3,18.9,13.6,36.6,35.0,18.866,33.034,40.31,4098
652800,624750000,77.1,18.6,15.2,36.5,35.0,18.590,29.599,41.31,4335
806400,624750000,78.5,27.0,17.1,36.6,35.0,16.523,25.670,46.05,4588
960000,624750000,75.2,29.3,19.4,36.8,35.1,14.587,22.263,52.15,4858
1113600,624750000,71.1,32.4,21.0,36.9,35.3,13.655,20.445,55.84,5049
1267200,624750000,67.1,30.9,21.8,37.2,35.4,13.257,19.335,57.31,5208
1420800,624750000,69.4,36.3,22.3,37.5,35.8,13.152,18.720,57.82,5402
1574400,624750000,64.4,31.3,22.8,37.7,36.2,13.216,18.337,57.39,5602
