fcpu_ghz,fgpu_ghz,total_time,T_hat,rel_err,x_cpu,x_gpu
0.3456,0.11475,20.532,16.805578604173967,0.1814933467672917,5.888888888888889,11.333333333333332
0.4992,0.11475,17.367,15.48704517233066,0.10824868012145682,4.0769230769230775,11.333333333333332
0.3456,1.13475,18.495,16.76066791057711,0.09377302457004014,5.888888888888889,1.1460674157303372
0.3456,1.03275,18.448,16.76116691828374,0.09143717919103744,5.888888888888889,1.259259259259259
0.3456,0.72675,18.267,16.763504375435858,0.08230665268320697,5.888888888888889,1.7894736842105263
0.3456,0.82875,18.099,16.762533431695747,0.07384201161966147,5.888888888888889,1.5692307692307692
0.3456,1.23675,18.018,16.760251213420027,0.06980512746031602,5.888888888888889,1.0515463917525774
0.3456,0.31875,18.02,16.773602190333005,0.06916747001481659,5.888888888888889,4.08
0.3456,1.3005,17.98,16.760023970485097,0.06785183701417705,5.888888888888889,1.0
0.3456,0.21675,17.971,16.782066535173257,0.06615844776733308,5.888888888888889,6.0
