fcpu,fgpu,cpu_uti,gpu_uti,mem_uti,cpu_temp,gpu_temp,inference_time,total_time,fps,VDD_IN
345600,114750000,64.0,56.8,5.1,32.9,31.5,66.618,86.846,12.99,3094
499200,114750000,60.8,65.3,5.6,33.5,32.0,60.612,74.582,13.81,3199
652800,114750000,49.3,70.3,5.9,33.9,32.3,58.667,69.629,13.95,3291
806400,114750000,49.7,74.7,6.1,34.2,32.5,57.816,67.259,14.00,3315
960000,114750000,40.6,77.1,6.2,34.4,32.6,57.043,65.365,14.06,3350
1113600,114750000,34.2,77.5,6.3,34.5,32.8,56.447,63.900,14.10,3427
1267200,114750000,41.1,79.4,6.4,34.6,33.0,55.975,62.850,14.19,3461
1420800,114750000,32.1,79.6,6.5,34.9,33.1,55.737,62.232,14.16,3528
1574400,114750000,35.1,82.5,6.6,34.9,33.3,55.457,61.188,14.16,3581
1728000,114750000,27.4,82.7,6.6,35.0,33.4,55.257,60.663,14.19,3642
1881600,114750000,35.6,83.0,6.7,35.2,33.6,54.993,60.032,14.24,3747
2035200,114750000,23.8,83.7,6.7,35.4,33.8,54.986,59.853,14.20,3838
345600,216750000,69.5,44.3,6.3,34.7,33.2,41.493,60.937,22.94,3171
499200,216750000,67.1,47.5,7.3,34.5,33.0,37.230,51.001,24.16,3363
652800,216750000,67.1,56.2,8.0,34.6,33.1,35.040,45.874,24.91,3487
806400,216750000,57.0,60.5,8.6,34.8,33.2,33.623,42.408,25.28,3595
960000,216750000,54.6,63.6,9.0,34.9,33.3,32.665,40.217,25.65,3673
1113600,216750000,48.4,65.7,9.3,35.0,33.5,32.090,38.722,25.90,3753
1267200,216750000,50.3,69.2,9.5,35.1,33.7,31.699,37.715,25.90,3831
1420800,216750000,51.9,68.4,9.7,35.3,33.8,31.301,36.817,26.07,3928
1574400,216750000,49.5,71.1,9.8,35.5,34.0,31.165,36.314,26.10,4035
1728000,216750000,46.4,73.1,9.9,35.5,34.2,30.932,35.777,26.14,4163
1881600,216750000,45.7,71.0,10.0,35.9,34.4,30.751,35.378,26.12,4290
2035200,216750000,44.8,72.6,10.1,36.2,34.7,30.587,35.002,26.15,4435
345600,318750000,79.7,29.9,6.9,35.1,33.7,33.236,52.811,30.71,3211
499200,318750000,68.7,42.6,8.3,34.8,33.4,28.779,42.515,33.07,3442
652800,318750000,69.6,46.2,9.3,34.8,33.4,26.861,37.436,34.00,3629
806400,318750000,65.4,50.9,10.1,34.9,33.6,25.614,34.396,34.60,3780
960000,318750000,63.0,56.2,10.7,35.1,33.7,24.585,32.067,35.33,3860
1113600,318750000,65.7,54.9,11.1,35.2,33.8,24.112,30.646,35.58,3949
1267200,318750000,61.7,59.1,11.4,35.3,33.9,23.660,29.665,35.77,4079
1420800,318750000,55.3,60.5,11.7,35.6,34.2,23.336,28.751,36.02,4186
1574400,318750000,53.1,61.6,12.0,35.9,34.4,22.997,28.062,36.29,4343
1728000,318750000,52.1,61.8,12.2,36.2,34.7,22.810,27.467,36.31,4512
1881600,318750000,50.3,62.5,12.4,36.4,35.0,22.615,26.894,36.40,4697
2035200,318750000,55.3,65.9,12.6,36.7,35.3,22.423,26.457,36.48,4883
345600,420750000,66.4,27.0,7.1,35.4,34.0,29.546,48.984,35.97,3217
499200,420750000,72.2,35.1,8.9,35.0,33.6,24.589,38.197,40.58,3507
652800,420750000,69.1,39.1,10.2,35.1,33.7,22.276,32.847,42.81,3716
806400,420750000,68.0,42.9,11.2,35.1,33.7,21.202,29.919,43.58,3895
960000,420750000,63.5,46.9,11.8,35.3,33.8,20.306,27.773,44.58,3979
1113600,420750000,59.4,49.5,12.5,35.4,34.2,19.693,26.211,44.88,4102
