fcpu,fgpu,cpu_uti,gpu_uti,mem_uti,cpu_temp,gpu_temp,inference_time,total_time,fps,VDD_IN
345600,114750000,72.3,44.3,5.7,32.4,31,16.62,36.655,45.57,3054
499200,114750000,69.5,52.6,6.6,32.8,31.4,16.359,30.168,45.74,3252
652800,114750000,65.4,55.3,7.1,33.2,31.6,16.331,27.063,45.61,3322
806400,114750000,65.5,61.4,7.4,33.3,31.7,16.303,25.602,45.84,3402
960000,114750000,55.5,62.6,7.6,33.4,31.9,16.271,24.564,45.68,3463
1113600,114750000,56.3,68.1,7.9,33.6,32.1,16.271,23.623,45.71,3513
1267200,114750000,44.3,66.4,8,33.7,32.3,16.243,23.169,45.92,3582
1420800,114750000,53.2,71.1,8.2,33.9,32.5,16.272,22.547,45.81,3668
1574400,114750000,54.4,73.3,8.4,34.1,32.6,16.228,22.171,45.85,3765
1728000,114750000,47.5,74.7,8.5,34.4,32.8,16.257,21.716,45.78,3851
1881600,114750000,32.2,73.3,8.6,34.5,32.9,16.236,21.342,45.84,3926
2035200,114750000,33.2,77,8.7,34.9,33.2,16.24,21.09,45.79,4113
345600,216750000,68.6,29.3,6.6,34,32.5,8.865,28.18,85.75,3111
499200,216750000,61.2,36.8,8,33.9,32.5,8.648,22.204,86.31,3345
652800,216750000,58.8,43.4,9,33.9,32.5,8.645,19.213,86.72,3544
806400,216750000,68.7,44.8,9.7,34.1,32.6,8.619,17.435,87.1,3673
960000,216750000,59.7,47.7,10.4,34.2,32.6,8.61,16.142,86.95,3790
1113600,216750000,61.9,55.7,10.8,34.2,32.7,8.597,15.196,87.13,3896
1267200,216750000,65.8,52.5,11.3,34.3,32.9,8.595,14.615,87.09,4043
1420800,216750000,61.6,56,11.6,34.5,33.2,8.559,14.109,87.21,4158
1574400,216750000,55.7,61.4,11.8,34.8,33.3,8.592,13.752,87.2,4274
1728000,216750000,51.9,57.3,11.9,34.9,33.4,8.578,13.461,87.2,4364
1881600,216750000,48.3,62.8,12.2,35.2,33.5,8.573,13.256,87.16,4577
2035200,216750000,45.2,58.4,12.3,35.4,33.9,8.575,13.034,87.31,4718
345600,318750000,83.1,21.1,6.8,34.4,32.9,7.125,26.273,103.31,3119
499200,318750000,67.7,27.9,8.4,34.2,32.8,6.687,20.133,110.84,3390
652800,318750000,74.6,31.5,9.6,34.1,32.7,6.576,17.117,113.85,3589
806400,318750000,66.2,32.5,10.5,34.2,32.7,6.441,15.159,114.42,3743
960000,318750000,66.7,39.4,11.4,34.3,32.9,6.436,13.933,116.16,3926
1113600,318750000,65.2,39.6,11.9,34.4,33,6.403,13.017,115.58,3992
1267200,318750000,67.9,44.7,12.4,34.5,33.2,6.336,12.307,115.69,4159
1420800,318750000,63.3,43.7,12.9,34.7,33.4,6.288,11.79,116.29,4322
1574400,318750000,61.4,45.6,13.3,34.8,33.4,6.329,11.352,118.39,4464
1728000,318750000,61,47.7,13.7,35.1,33.7,6.362,11.061,117.07,4655
1881600,318750000,56.5,45,14.1,35.4,33.9,6.321,10.722,117.19,4906
2035200,318750000,61.6,49.6,14.3,35.5,34.3,6.297,10.414,116.96,5036
345600,420750000,79.6,14.8,7,34.5,33.1,6.458,25.962,117.61,3132
499200,420750000,74.2,19.5,8.7,34.3,32.9,5.95,19.424,125.92,3397
652800,420750000,74.1,23.1,9.9,34.3,32.8,5.739,16.251,128.73,3612
806400,420750000,74.6,29.9,10.9,34.3,33,5.806,14.53,130.7,3774
960000,420750000,71.5,27.1,11.7,34.4,33.1,5.656,13.069,131.67,3937
1113600,420750000,56.6,29.8,12.5,34.5,33.2,5.658,12.185,133.72,4095
1267200,420750000,63.8,39.2,13.1,34.6,33.4,5.653,11.622,133.59,4246
1420800,420750000,65.4,34.2,13.5,34.9,33.5,5.593,10.97,133.33,4423
1574400,420750000,56.8,37.4,14,35,33.7,5.541,10.533,134.04,4593
1728000,420750000,66,42.3,14.2,35.3,34,5.548,10.203,133.79,4761
1881600,420750000,51.4,36.7,14.6,35.3,34.1,5.585,9.915,133.4,4930
2035200,420750000,62.3,42.4,15.1,35.8,34.4,5.545,9.611,134.15,5277
345600,522750000,79.5,14.8,7,34.6,33.3,6.024,25.511,127.45,3147
499200,522750000,69.6,19.8,8.6,34.3,33,5.685,19.17,132.7,3404
652800,522750000,74.4,20.8,9.9,34.3,33,5.704,16.16,134.4,3617
806400,522750000,61.5,25.4,11,34.3,32.9,5.576,14.24,135.16,3822
960000,522750000,72.8,24.5,11.8,34.3,33,5.531,12.95,135.86,3954
1113600,522750000,58.9,29.3,12.4,34.3,33.1,5.506,12.099,136.4,4059
1267200,522750000,66.6,30.5,13.1,34.4,33,5.498,11.467,136.92,4249
1420800,522750000,70.1,25.7,13.6,34.5,33.3,5.494,10.89,137.47,4401
1574400,522750000,67.7,31.2,14,34.6,33.4,5.484,10.485,137.16,4602
1728000,522750000,65.8,28.8,14.4,34.9,33.6,5.481,10.105,137.39,4778
1881600,522750000,55.6,28.9,14.8,35.1,33.9,5.474,9.777,137.44,5024
2035200,522750000,55.1,29.1,15.1,35.3,34.1,5.467,9.545,137.85,5210
345600,624750000,79.1,12.4,7,34.3,32.8,6.005,25.164,128.75,3123
499200,624750000,83.1,13.2,8.7,33.9,32.6,5.872,19.541,132.44,3411
652800,624750000,75,21.1,9.9,33.9,32.6,5.615,16.127,134.54,3603
806400,624750000,79.2,24.4,11,33.9,32.7,5.558,14.211,135.05,3820
960000,624750000,72.6,24.8,12.1,34.1,32.8,5.538,12.959,134.55,4074
1113600,624750000,70.3,24.6,12.5,34.2,32.9,5.515,12.03,137.14,4095
1267200,624750000,68.3,21.8,13,34.4,33,5.495,11.413,136.99,4241
1420800,624750000,60.6,21.9,13.5,34.5,33.2,5.487,10.9,137.41,4398
1574400,624750000,75,28.4,14,34.7,33.4,5.483,10.48,137.23,4572
1728000,624750000,63,29.7,14.4,34.9,33.5,5.481,10.086,137.44,4792
1881600,624750000,67.8,29.1,14.8,35.1,33.8,5.47,9.781,137.43,5031
2035200,624750000,68.8,24.2,15,35.5,34.2,5.471,9.541,138.01,5217
345600,726750000,69.2,12.6,7,34.4,33,5.93,25.172,126.6,3135
499200,726750000,85.2,9.6,8.6,34.2,32.8,5.769,19.116,132.27,3411
652800,726750000,76.4,18.2,9.9,34.2,32.7,5.593,16.047,134.24,3633
806400,726750000,66.3,12.6,11,34.2,32.7,5.573,14.322,135.29,3811
960000,726750000,70.9,23.7,11.8,34.3,33,5.535,12.979,135.97,3968
1113600,726750000,61.9,17.2,12.5,34.4,33.2,5.514,12.046,137.17,4098
1267200,726750000,74.2,24.1,13,34.5,33.4,5.499,11.413,137.2,4244
1420800,726750000,52.5,15.8,13.5,34.7,33.3,5.492,10.895,137.4,4409
1574400,726750000,56.4,27.7,14,34.8,33.5,5.485,10.437,137.25,4559
1728000,726750000,63.5,25.3,14.4,35.2,33.7,5.484,10.079,137.41,4826
1881600,726750000,50.1,25.1,14.8,35.4,34.2,5.474,9.798,137.24,5067
2035200,726750000,61.6,26.6,15,35.7,34.3,5.472,9.531,138.01,5273
345600,828750000,74.1,9.3,6.9,34.6,33.1,5.934,25.081,129.17,3194
499200,828750000,82.1,12.4,8.5,34.3,32.9,5.728,19.344,132.93,3454
652800,828750000,74.5,14,9.9,34.3,32.8,5.619,16.131,134.59,3696
806400,828750000,62.8,19.5,11,34.4,32.9,5.575,14.24,135.06,3892
960000,828750000,55.2,18.7,11.8,34.4,33,5.541,12.949,135.85,4036
1113600,828750000,65.3,19.1,12.5,34.6,33.1,5.514,12.047,136.89,4172
1267200,828750000,68.7,21.7,13,34.8,33.2,5.503,11.402,137.43,4250
1420800,828750000,66.4,19.7,13.5,34.8,33.3,5.493,10.85,137.22,4404
1574400,828750000,51.1,14.7,13.9,35,33.5,5.488,10.438,137.65,4575
1728000,828750000,66.4,20.4,14.4,35.2,33.9,5.481,10.099,137.72,4813
1881600,828750000,64.6,13.9,14.7,35.4,33.9,5.472,9.789,137.61,5047
2035200,828750000,60.9,16.5,15,35.6,34.2,5.475,9.555,138,5272
345600,930750000,76,9.2,7,34.7,33.2,5.954,25.078,128.53,3240
499200,930750000,77.4,7.9,8.6,34.4,33,5.682,19.094,131.81,3522
652800,930750000,72.4,13.8,9.9,34.4,33.1,5.62,16.054,133.3,3799
806400,930750000,76.5,16.5,10.9,34.5,33,5.567,14.217,135.61,3962
960000,930750000,67.8,16.2,11.8,34.4,33.1,5.53,12.962,135.94,4146
1113600,930750000,59.5,15.6,12.4,34.5,33.2,5.514,12.049,136.73,4221
1267200,930750000,61.9,18.8,13,34.6,33.2,5.506,11.357,136.99,4387
