fcpu,fgpu,cpu_uti,gpu_uti,mem_uti,cpu_temp,gpu_temp,inference_time,total_time,fps,VDD_IN
345600,114750000,93.2,34.7,6.3,33.3,31.7,17.393,20.532,43.58,3435
499200,114750000,89.0,32.4,7.2,33.6,32.0,15.188,17.367,50.17,3630
652800,114750000,87.2,38.5,8.0,33.9,32.3,13.841,15.336,54.86,3787
806400,114750000,78.0,55.2,8.9,34.2,32.3,12.860,14.057,59.26,3927
960000,114750000,74.7,59.0,9.0,34.4,32.5,12.826,13.893,59.33,3973
1113600,114750000,70.8,60.4,9.1,34.7,32.6,12.730,13.704,59.84,4027
1267200,114750000,70.5,57.1,9.2,34.9,32.8,12.689,13.631,60.00,4109
1420800,114750000,66.2,53.3,9.3,35.0,33.0,12.698,13.497,59.99,4185
1574400,114750000,66.2,59.3,9.3,35.3,33.1,12.658,13.461,60.15,4273
1728000,114750000,64.0,59.6,9.3,35.4,33.4,12.679,13.390,60.14,4407
1881600,114750000,59.3,57.7,9.4,35.8,33.5,12.657,13.349,60.16,4540
2035200,114750000,60.9,58.4,9.4,36.0,33.8,12.643,13.302,60.12,4723
345600,216750000,92.7,20.4,6.8,35.1,33.4,15.210,17.971,49.56,3509
499200,216750000,90.6,26.8,7.8,34.9,33.3,13.236,15.492,57.54,3672
652800,216750000,85.6,34.3,8.6,34.9,33.2,12.939,14.464,58.46,3822
806400,216750000,78.5,30.9,8.9,34.9,33.1,12.889,14.055,59.21,3920
960000,216750000,76.0,35.4,9.0,35.0,33.3,12.749,13.883,59.79,3935
1113600,216750000,70.7,35.7,9.3,35.0,33.2,12.717,13.643,59.92,4007
1267200,216750000,68.0,37.5,9.4,35.1,33.2,12.707,13.562,59.98,4066
1420800,216750000,66.7,34.7,9.4,35.3,33.3,12.692,13.514,59.92,4137
1574400,216750000,64.8,34.6,9.4,35.3,33.4,12.676,13.458,60.10,4230
1728000,216750000,64.0,34.3,9.5,35.5,33.5,12.649,13.357,60.23,4366
1881600,216750000,61.0,33.5,9.4,35.8,33.7,12.639,13.363,60.18,4465
2035200,216750000,58.6,34.3,9.5,36.2,34.0,12.660,13.300,60.09,4701
345600,318750000,92.6,16.7,6.8,35.3,33.5,14.967,18.020,50.92,3487
499200,318750000,90.3,19.9,7.7,35.0,33.4,13.551,15.635,55.89,3658
652800,318750000,84.8,22.4,8.6,35.1,33.3,12.935,14.378,58.98,3826
806400,318750000,79.1,21.9,8.9,35.1,33.3,12.801,13.952,59.52,3898
960000,318750000,75.2,24.9,9.1,35.1,33.3,12.755,13.777,59.70,3943
1113600,318750000,71.9,25.3,9.3,35.1,33.4,12.704,13.638,59.91,4008
1267200,318750000,70.1,25.3,9.4,35.2,33.4,12.698,13.536,60.02,4072
1420800,318750000,67.0,25.6,9.4,35.4,33.5,12.672,13.451,60.12,4147
1574400,318750000,65.2,25.1,9.4,35.4,33.5,12.675,13.432,60.00,4235
1728000,318750000,63.4,25.1,9.5,35.5,33.5,12.654,13.360,60.19,4344
1881600,318750000,62.0,24.8,9.5,36.0,33.7,12.648,13.358,60.14,4516
2035200,318750000,60.1,23.9,9.5,36.2,34.0,12.639,13.287,60.07,4665
