fcpu,fgpu,cpu_uti,gpu_uti,mem_uti,cpu_temp,gpu_temp,inference_time,total_time,fps,VDD_IN
345600,114750000,72.6,44.4,3.6,32.5,30.9,16.384,36.507,45.62,2911
499200,114750000,54.8,50.4,4,32.8,31.3,16.328,30.425,45.72,2991
652800,114750000,60.5,59.6,4.3,32.9,31.5,16.242,27.186,45.66,3051
806400,114750000,58.1,64,4.4,33.1,31.6,16.272,25.969,45.8,3109
960000,114750000,48.8,64.4,4.5,33.3,31.8,16.228,24.693,45.73,3158
1113600,114750000,49,68.9,4.7,33.3,32,16.255,23.881,45.8,3213
1267200,114750000,45.2,69.9,4.8,33.5,32.1,16.199,22.989,45.9,3280
1420800,114750000,51.8,72.3,4.8,33.6,32.2,16.25,22.529,45.96,3324
1574400,114750000,42.5,71.7,4.9,33.7,32.3,16.189,22.005,45.74,3412
1728000,114750000,47.7,70.9,5,34,32.5,16.21,21.614,46.03,3487
1881600,114750000,34.8,76.3,5,34,32.6,16.196,21.3,45.87,3589
2035200,114750000,40.4,74.2,5.1,34.4,32.9,16.158,21.098,45.93,3666
345600,216750000,68.4,30,4,33.6,32.3,8.618,28.201,86.88,2868
499200,216750000,67.1,35.9,4.7,33.4,32.3,8.64,22.508,86.96,3033
652800,216750000,72.9,41.9,5.2,33.3,32,8.579,19.24,86.98,3170
806400,216750000,65.9,48.9,5.6,33.5,32.3,8.553,17.412,87.08,3288
960000,216750000,63.9,48.7,5.9,33.6,32.3,8.572,16.237,87.17,3357
1113600,216750000,65.4,51.2,6.1,33.7,32.4,8.554,15.229,87.23,3421
1267200,216750000,64.8,54.8,6.4,33.8,32.6,8.554,14.648,87.16,3545
1420800,216750000,64.5,55.5,6.5,34,32.8,8.525,14.117,87.31,3618
1574400,216750000,58,57.3,6.6,34.2,32.8,8.533,13.724,87.39,3724
1728000,216750000,60.7,59.6,6.7,34.3,32.9,8.526,13.467,87.25,3840
1881600,216750000,62.4,60.4,6.8,34.6,33.1,8.514,13.191,87.4,4011
2035200,216750000,57.9,60.2,6.8,34.8,33.4,8.53,13.05,87.59,4116
345600,318750000,69.9,22.3,4.2,34,32.6,6.086,25.533,125.26,2884
499200,318750000,74.6,28,5,33.7,32.5,5.938,19.54,127.86,3076
652800,318750000,76.8,32.5,5.6,33.7,32.4,5.894,16.629,127.39,3217
806400,318750000,75.1,36.6,6.1,33.7,32.5,5.844,14.674,127.85,3353
960000,318750000,67.1,42.1,6.6,33.8,32.5,5.848,13.393,127.99,3468
1113600,318750000,53.7,42,6.9,33.9,32.7,5.841,12.45,127.91,3562
1267200,318750000,63.1,41.7,7.1,34.1,32.7,5.833,11.879,128.14,3660
1420800,318750000,64.9,44,7.4,34.1,32.9,5.843,11.308,127.83,3814
1574400,318750000,64.6,47.8,7.6,34.3,33,5.839,10.88,128.02,3937
1728000,318750000,64.5,50.6,7.8,34.5,33.2,5.84,10.563,127.91,4088
1881600,318750000,70,50.2,7.9,34.9,33.5,5.834,10.221,128.17,4263
2035200,318750000,56.5,53.2,8,35,33.7,5.824,9.951,128.19,4455
345600,420750000,74.5,14.6,4.2,34,32.6,5.165,24.517,142.83,2875
499200,420750000,78.8,22.3,5.1,33.8,32.5,4.888,18.498,156.08,3063
652800,420750000,68.5,26.7,5.9,33.8,32.4,4.648,15.274,162.63,3258
806400,420750000,84.2,29.7,6.5,33.9,32.5,4.545,13.218,164.27,3407
960000,420750000,66.8,32.6,6.9,33.9,32.6,4.521,11.969,166.75,3512
1113600,420750000,67.6,35.9,7.3,34,32.7,4.514,11.171,167.93,3624
1267200,420750000,72,38.9,7.6,34.2,32.8,4.468,10.416,167.69,3756
1420800,420750000,80.8,38.8,8,34.4,33.1,4.451,9.946,167.57,3926
1574400,420750000,67,41,8.1,34.5,33.2,4.453,9.467,168.12,4045
1728000,420750000,67,41.5,8.4,34.7,33.5,4.444,9.162,167.98,4259
1881600,420750000,64.9,43.9,8.6,35,33.7,4.439,8.781,168.66,4484
2035200,420750000,69.1,44.4,8.8,35.1,34,4.45,8.579,168.06,4710
345600,522750000,75,13.1,4.2,34.1,32.8,4.891,24.246,163.86,2865
499200,522750000,76.1,20,5.2,34,32.5,4.381,18.054,174.5,3075
