fcpu_ghz,fgpu_ghz,total_time,T_hat,rel_err,x_cpu,x_gpu
0.3456,0.11475,15.506,14.6574232322134,0.054725704100773896,5.888888888888889,11.333333333333332
0.3456,0.93075,14.934,14.6574232322134,0.01851993891700811,5.888888888888889,1.3972602739726028
0.3456,1.03275,14.93,14.6574232322134,0.018256983776731385,5.888888888888889,1.259259259259259
0.3456,1.3005,14.907,14.6574232322134,0.01674225315533641,5.888888888888889,1.0
0.6528,0.21675,13.629,13.815997801544432,0.013720581227121026,3.1176470588235294,6.0
0.8064,0.11475,13.489,13.635692352115367,0.010874961236219588,2.5238095238095237,11.333333333333332
0.4992,0.21675,13.959,14.107260450622151,0.010621136945494065,4.0769230769230775,6.0
0.96,0.11475,13.385,13.513084646503604,0.009569267575913623,2.12,11.333333333333332
0.3456,1.13475,14.796,14.6574232322134,0.009365826425155394,5.888888888888889,1.1460674157303372
0.3456,0.42075,14.789,14.6574232322134,0.00889693473437011,5.888888888888889,3.090909090909091
