fcpu_ghz,fgpu_ghz,total_time,__file__,T_hat,rel_err,x_cpu,x_gpu
2.0352,1.3005,6.267,3.csv,12.639417654236851,1.0168210713637866,1.0,1.0
2.0352,1.13475,6.326,3.csv,12.662980733535989,1.0017358099171656,1.0,1.1460674157303372
2.0352,1.23675,6.335,3.csv,12.647732935987936,0.9964850727684192,1.0,1.0515463917525774
1.8816,1.3005,6.52,3.csv,12.76070298783238,0.9571630349436167,1.0816326530612246,1.0
2.0352,0.93075,6.524,3.csv,12.703502277704793,0.9471953215366022,1.0,1.3972602739726028
2.0352,1.03275,6.536,3.csv,12.68124044171082,0.9402142658676286,1.0,1.259259259259259
1.8816,1.23675,6.582,3.csv,12.769018269583462,0.93999062132839,1.0816326530612246,1.0515463917525774
1.8816,1.13475,6.622,3.csv,12.784266067131517,0.9305747609682146,1.0816326530612246,1.1460674157303372
1.728,1.23675,6.826,3.csv,12.911865440262641,0.8915712628571113,1.1777777777777778,1.0515463917525774
1.728,1.13475,6.849,3.csv,12.927113237810696,0.8874453552067011,1.1777777777777778,1.1460674157303372
